correct,id,label,original_id,prediction,scores
False,0,3,24,2,"[4.125, 6.25, 3.59375, 3.9375]"
False,1,3,92,2,"[3.59375, 2.734375, 2.421875, 2.9375]"
True,2,2,106,2,"[2.625, 3.203125, 2.40625, 4.375]"
False,3,2,114,0,"[2.46875, 4.6875, 3.78125, 3.96875]"
False,4,1,116,2,"[2.203125, 2.5625, 1.71875, 2.515625]"
False,5,1,117,2,"[6.0625, 3.90625, 2.375, 4.15625]"
False,6,2,149,0,"[1.953125, 2.265625, 3.09375, 3.21875]"
False,7,0,170,3,"[5.71875, 5.5, 3.5625, 3.5]"
False,8,1,180,2,"[3.96875, 2.796875, 2.5625, 4.90625]"
False,9,1,182,0,"[3.0, 4.125, 3.3125, 4.28125]"
True,10,3,185,3,"[2.53125, 2.75, 4.3125, 2.4375]"
False,11,3,186,0,"[2.296875, 3.609375, 3.5625, 4.3125]"
False,12,2,187,1,"[4.21875, 3.015625, 3.265625, 3.4375]"
False,13,2,188,3,"[5.28125, 4.1875, 2.9375, 2.71875]"
False,14,0,192,3,"[3.734375, 4.1875, 4.75, 3.09375]"
True,15,3,200,3,"[4.0625, 2.953125, 3.484375, 2.796875]"
False,16,2,225,1,"[3.78125, 2.640625, 3.359375, 3.171875]"
False,17,0,245,2,"[4.375, 4.5625, 3.640625, 4.03125]"
False,18,1,246,0,"[3.34375, 4.75, 4.28125, 3.890625]"
True,19,1,247,1,"[3.265625, 3.15625, 3.421875, 3.8125]"
False,20,1,282,3,"[3.328125, 4.9375, 3.75, 3.3125]"
False,21,0,354,3,"[2.390625, 3.921875, 4.125, 1.546875]"
True,22,3,378,3,"[4.0625, 5.84375, 4.25, 3.953125]"
True,23,3,380,3,"[2.640625, 3.625, 3.421875, 2.59375]"
False,24,0,385,1,"[4.375, 3.859375, 4.03125, 4.1875]"
False,25,3,386,1,"[4.46875, 3.5, 4.21875, 4.09375]"
True,26,0,393,0,"[3.53125, 4.34375, 5.21875, 3.890625]"
True,27,3,398,3,"[3.296875, 4.875, 3.953125, 2.890625]"
True,28,1,399,1,"[3.078125, 2.65625, 4.40625, 3.234375]"
True,29,3,400,3,"[3.90625, 5.3125, 4.0625, 3.484375]"
False,30,1,402,2,"[3.328125, 3.71875, 2.421875, 3.0625]"
False,31,0,478,1,"[3.984375, 3.109375, 4.0625, 3.203125]"
True,32,1,479,1,"[3.765625, 1.8671875, 4.5625, 3.96875]"
False,33,2,491,1,"[3.125, 2.890625, 3.5, 4.5]"
False,34,0,492,3,"[3.3125, 2.671875, 4.53125, 2.65625]"
False,35,0,493,2,"[3.625, 3.546875, 2.890625, 3.84375]"
True,36,3,503,3,"[4.15625, 3.453125, 4.25, 2.859375]"
False,37,2,527,3,"[3.078125, 4.0625, 3.15625, 2.890625]"
True,38,2,529,2,"[5.59375, 4.78125, 3.03125, 3.390625]"
True,39,1,560,1,"[5.90625, 3.4375, 3.90625, 3.5625]"
False,40,2,586,0,"[3.265625, 3.921875, 3.3125, 4.75]"
False,41,2,604,0,"[3.21875, 5.1875, 3.71875, 4.1875]"
True,42,3,605,3,"[3.359375, 5.0625, 3.234375, 2.109375]"
False,43,2,606,3,"[3.984375, 4.28125, 3.890625, 3.640625]"
True,44,0,615,0,"[2.890625, 3.6875, 4.0, 4.375]"
True,45,0,616,0,"[3.171875, 3.453125, 6.8125, 5.15625]"
True,46,0,618,0,"[2.34375, 2.484375, 3.265625, 4.625]"
False,47,0,619,1,"[4.40625, 2.921875, 4.3125, 4.625]"
False,48,3,689,0,"[1.6640625, 4.59375, 1.8203125, 3.203125]"
True,49,2,708,2,"[6.21875, 4.65625, 3.3125, 4.5]"
False,50,2,712,1,"[3.734375, 3.6875, 4.5, 3.921875]"
True,51,2,748,2,"[4.5, 3.734375, 3.6875, 4.21875]"
False,52,2,801,1,"[4.90625, 2.484375, 2.640625, 2.921875]"
